name,reg_no,cgpa
Gardner,REG020924,1.87
Christian,REG020925,3.84
Irma,REG020926,5.07
Ernie,REG020927,2.31
Celesta,REG020928,1.87
Retha,REG020929,1.87
Lemmie,REG020930,1.73
Magdalene,REG020931,3.40
Shigeru,REG020932,1.87
Lillie,REG020933,2.39
Irene,REG020934,6.94
Coley,REG020935,1.73
Vinnie,REG020936,3.14
Luke,REG020937,4.11
Hayes,REG020938,1.73
Kate,REG020939,5.09
Ana,REG020940,2.47
Nellie,REG020941,7.48
Bradford,REG020942,2.12
Alethia,REG020943,2.00
Ethel,REG020944,7.83
Dollie,REG020945,5.12
Leland,REG020946,1.87
Ellie,REG020947,3.86
Abraham,REG020948,4.21
Chessie,REG020949,2.22
Eber,REG020950,1.73
Julian,REG020951,4.01
Alan,REG020952,2.93
Juliana,REG020953,2.47
Macil,REG020954,1.73
Gertrude,REG020955,1.73
Burdette,REG020956,1.73
Rufus,REG020957,4.63
Pebble,REG020958,2.00
Kitty,REG020959,3.34
Glee,REG020960,1.87
Wendell,REG020961,1.73
Eleanore,REG020962,3.50
Evelyn,REG020963,5.68
Edyth,REG020964,2.73
Reta,REG020965,3.58
Evelyne,REG020966,2.84
Arbie,REG020967,2.00
Luke,REG020968,3.62
Vannie,REG020969,2.31
Rosco,REG020970,1.73
Donnie,REG020971,1.73
Emmet,REG020972,3.31
Eliga,REG020973,1.87
Zilla,REG020974,2.00
Besse,REG020975,2.73
Coleman,REG020976,3.24
Wilbur,REG020977,4.90
Vincenza,REG020978,1.73
Clair,REG020979,3.17
Lollie,REG020980,2.54
Estefana,REG020981,1.73
Sally,REG020982,5.10
Iola,REG020983,3.31
Toney,REG020984,2.31
Epsie,REG020985,2.12
Ely,REG020986,2.12
Berneda,REG020987,1.87
Wessie,REG020988,2.12
Everett,REG020989,4.76
Lillie,REG020990,2.00
Adolphus,REG020991,2.39
Genevieve,REG020992,5.54
Berry,REG020993,3.40
Earnest,REG020994,5.34
Caldonia,REG020995,2.39
Bess,REG020996,4.84
Mccoy,REG020997,2.00
Leonarda,REG020998,2.00
Spurgeon,REG020999,1.73
Hansford,REG021000,1.87
Manford,REG021001,2.00
Guss,REG021002,2.47
Eudora,REG021003,2.31
Zelma,REG021004,4.70
Philomena,REG021005,3.48
Eller,REG021006,2.31
Georgette,REG021007,1.87
Elia,REG021008,1.87
Liza,REG021009,3.06
Almyra,REG021010,1.73
Less,REG021011,1.73
Nannie,REG021012,5.35
Swan,REG021013,1.73
Eugenia,REG021014,4.29
Nanie,REG021015,2.39
Cloyd,REG021016,2.12
Madolyn,REG021017,1.73
Tomas,REG021018,2.22
Harland,REG021019,2.67
Eleanor,REG021020,5.71
Gerardo,REG021021,2.12
Gena,REG021022,2.39
Percival,REG021023,1.87
Sam,REG021024,1.87
Judd,REG021025,1.73
Virgia,REG021026,1.73
Ephraim,REG021027,2.31
Cola,REG021028,2.31
Thaddeus,REG021029,2.67
Chester,REG021030,5.46
Gwendolyn,REG021031,5.42
Leola,REG021032,5.58
Duncan,REG021033,2.54
John,REG021034,8.66
Otha,REG021035,2.00
Enola,REG021036,3.02
Madison,REG021037,2.84
Mina,REG021038,4.21
China,REG021039,1.73
Parlie,REG021040,1.87
Goldie,REG021041,6.01
Saturnino,REG021042,1.73
Egbert,REG021043,2.12
Clint,REG021044,2.22
Flonnie,REG021045,2.78
Luverne,REG021046,2.12
Mattie,REG021047,6.89
Salvadore,REG021048,2.12
Callie,REG021049,5.01
Walton,REG021050,2.22
Beatrix,REG021051,1.87
Nelle,REG021052,3.84
Walker,REG021053,2.93
Lenora,REG021054,4.99
Minnie,REG021055,7.57
Pearlie,REG021056,4.59
Margot,REG021057,1.87
Aurora,REG021058,2.12
Hattie,REG021059,6.80
Octavie,REG021060,1.87
Luz,REG021061,1.73
Will,REG021062,1.73
Pearla,REG021063,2.00
Miranda,REG021064,2.00
Lannie,REG021065,2.00
Oliver,REG021066,5.27
Sonya,REG021067,1.73
Elfie,REG021068,2.00
Lafe,REG021069,1.73
Horace,REG021070,4.93
Pattie,REG021071,3.48
Vern,REG021072,2.93
Ever,REG021073,2.31
Reno,REG021074,2.00
Fate,REG021075,2.22
Jefferson,REG021076,3.10
Stephen,REG021077,5.64
Dorothea,REG021078,6.10
Berma,REG021079,1.73
Rube,REG021080,1.87
Ester,REG021081,3.64
Obie,REG021082,1.87
Faith,REG021083,3.06
Willia,REG021084,3.14
Sylvia,REG021085,5.19
Jesse,REG021086,2.47
James,REG021087,8.39
Cinda,REG021088,2.22
Missie,REG021089,2.12
Gray,REG021090,2.31
Rob,REG021091,1.87
Irma,REG021092,5.56
Ottie,REG021093,2.98
Azzie,REG021094,2.00
Sibyl,REG021095,3.37
Stewart,REG021096,2.84
Ocie,REG021097,3.75
Floye,REG021098,2.22
Harold,REG021099,5.06
Lottie,REG021100,6.16
Sabina,REG021101,1.87
Gaines,REG021102,1.87
Libbie,REG021103,2.93
Travis,REG021104,3.14
Ewing,REG021105,1.87
Chester,REG021106,5.72
Susie,REG021107,5.96
Ethyl,REG021108,3.48
Jodie,REG021109,2.39
Claramae,REG021110,2.00
Hallie,REG021111,2.00
Opha,REG021112,2.00
Pete,REG021113,3.89
Electa,REG021114,2.54
Elias,REG021115,3.10
Amanda,REG021116,5.66
Bernie,REG021117,2.39
John,REG021118,8.67
Leo,REG021119,6.24
Addie,REG021120,5.81
Dudley,REG021121,2.84
Otha,REG021122,2.12
Mintie,REG021123,2.31
Effa,REG021124,2.12
Effa,REG021125,2.00
Travis,REG021126,2.73
Cloyd,REG021127,2.12
Izora,REG021128,1.73
Opal,REG021129,6.70
Helene,REG021130,4.81
Estie,REG021131,1.73
Metha,REG021132,1.73
Edker,REG021133,2.12
Arville,REG021134,1.73
Ross,REG021135,4.29
Dorothy,REG021136,3.17
Carlie,REG021137,1.73
Flornce,REG021138,1.73
Onie,REG021139,2.93
Allison,REG021140,2.47
Merton,REG021141,1.87
Hildegard,REG021142,2.31
Zella,REG021143,4.66
Lucretia,REG021144,3.45
Everette,REG021145,2.22
James,REG021146,3.14
Clarence,REG021147,2.67
Tera,REG021148,2.12
Hettie,REG021149,4.70
Lavonne,REG021150,1.73
Santos,REG021151,1.73
Hugo,REG021152,3.17
Karl,REG021153,3.91
Marshal,REG021154,1.73
Effie,REG021155,6.32
Erman,REG021156,2.12
Lionel,REG021157,2.12
Williams,REG021158,2.93
Roosevelt,REG021159,1.87
Kermit,REG021160,2.73
Lella,REG021161,2.00
Will,REG021162,6.10
Albertha,REG021163,2.73
Chin,REG021164,1.87
Cassie,REG021165,4.29
Washington,REG021166,2.89
Nat,REG021167,2.39
Doshie,REG021168,2.73
Ilean,REG021169,1.87
Jodie,REG021170,2.12
Hector,REG021171,2.67
Ceasar,REG021172,2.00
Elwood,REG021173,3.82
Carie,REG021174,1.87
Leopold,REG021175,2.00
Jean,REG021176,4.80
Annabell,REG021177,2.73
Euphemia,REG021178,1.73
Osborne,REG021179,1.73
Ferne,REG021180,1.87
Dee,REG021181,3.21
Janie,REG021182,4.63
Clare,REG021183,3.64
Carl,REG021184,6.28
Murray,REG021185,2.84
Bryant,REG021186,2.00
Janette,REG021187,2.31
Sena,REG021188,2.54
Reed,REG021189,2.54
Lyman,REG021190,3.55
Lovell,REG021191,2.00
Orlando,REG021192,2.39
Bobbie,REG021193,1.73
Joanna,REG021194,3.37
Bonnie,REG021195,2.12
Clemmie,REG021196,3.48
Sewell,REG021197,2.00
Emmett,REG021198,4.16
Hunter,REG021199,2.67
Aline,REG021200,3.91
Sylvia,REG021201,6.65
Janette,REG021202,2.67
Leonie,REG021203,2.73
Woodie,REG021204,2.00
Malachi,REG021205,2.31
Frederick,REG021206,5.90
Jacqueline,REG021207,2.67
Irvine,REG021208,1.73
Connie,REG021209,2.00
Hettie,REG021210,4.56
Gene,REG021211,3.75
Elton,REG021212,1.87
Harmon,REG021213,2.84
Hilma,REG021214,3.67
Liza,REG021215,2.98
Lydia,REG021216,6.31
Ellsworth,REG021217,2.73
Bernadette,REG021218,3.71
Samella,REG021219,2.00
Gardner,REG021220,2.31
Willian,REG021221,2.39
Evaline,REG021222,2.47
Wince,REG021223,1.73
Flonnie,REG021224,2.00
Odile,REG021225,1.73
Silva,REG021226,1.87
Solomon,REG021227,3.64
Amie,REG021228,2.22
Guillermo,REG021229,2.31
Maria,REG021230,6.23
Simpson,REG021231,2.00
Amelia,REG021232,5.75
Mervin,REG021233,3.53
Cecelia,REG021234,5.56
Estha,REG021235,1.73
Audley,REG021236,1.73
Lawyer,REG021237,2.00
Cecilio,REG021238,1.73
Smith,REG021239,3.24
Cody,REG021240,1.87
Elitha,REG021241,1.87
Ermina,REG021242,2.22
Myrta,REG021243,2.89
Louise,REG021244,1.73
Lonie,REG021245,3.50
Newman,REG021246,2.31
Rayfield,REG021247,1.87
Alverta,REG021248,3.14
Malvina,REG021249,2.54
Cammie,REG021250,2.22
Exa,REG021251,2.39
Sidney,REG021252,2.78
Hermina,REG021253,2.67
Cephus,REG021254,2.00
Randolph,REG021255,3.82
Rosanna,REG021256,2.93
Anna,REG021257,8.45
Icie,REG021258,1.87
Marvin,REG021259,5.03
Kathrine,REG021260,2.98
Gertrue,REG021261,1.73
Flavia,REG021262,2.00
Ewell,REG021263,2.47
Margrette,REG021264,2.00
Julius,REG021265,1.73
Versa,REG021266,1.87
Molly,REG021267,3.77
Evelyn,REG021268,6.30
Paul,REG021269,6.65
Timmie,REG021270,1.73
Coila,REG021271,1.73
Micheal,REG021272,2.12
Otis,REG021273,2.12
Ervin,REG021274,3.37
Ennis,REG021275,2.61
Katharyn,REG021276,2.12
Monta,REG021277,2.00
Hobert,REG021278,3.73
Burt,REG021279,3.45
Art,REG021280,2.47
Dell,REG021281,2.12
Elnora,REG021282,4.91
Duncan,REG021283,2.31
Carlota,REG021284,1.87
Dale,REG021285,2.47
Lucile,REG021286,5.31
Lou,REG021287,2.67
Morgan,REG021288,2.98
Elie,REG021289,2.61
Winnie,REG021290,5.37
Pollie,REG021291,2.84
Marian,REG021292,5.38
Vernie,REG021293,4.15
Woodson,REG021294,1.73
Clayborn,REG021295,1.73
Aden,REG021296,1.73
Webb,REG021297,2.12
Jerry,REG021298,5.27
Cleora,REG021299,2.78
Alfonso,REG021300,1.73
Myrl,REG021301,2.00
Angel,REG021302,2.31
Minnie,REG021303,2.31
Nanette,REG021304,1.87
Silvia,REG021305,2.73
Ether,REG021306,2.22
Sylvester,REG021307,4.12
Girtie,REG021308,2.47
Leathia,REG021309,1.73
Delcie,REG021310,2.39
Flora,REG021311,5.79
Corine,REG021312,3.94
Fred,REG021313,2.12
Marjorie,REG021314,6.42
Carmella,REG021315,2.39
Naoma,REG021316,2.47
Elmer,REG021317,3.21
Dellar,REG021318,2.22
Olivia,REG021319,3.81
Barnard,REG021320,1.73
Billy,REG021321,1.87
Minta,REG021322,2.39
Naoma,REG021323,2.22
Altha,REG021324,2.89
Louie,REG021325,4.01
Pablita,REG021326,1.87
Jemima,REG021327,1.87
Valentina,REG021328,2.12
Dorothea,REG021329,4.53
Ionia,REG021330,1.73
Caleb,REG021331,2.54
Amos,REG021332,4.48
Garrett,REG021333,3.06
Rosario,REG021334,1.87
Lois,REG021335,6.39
Dorothea,REG021336,5.00
Marcia,REG021337,2.84
Hershel,REG021338,2.12
Angus,REG021339,2.54
Carnell,REG021340,1.73
Juanita,REG021341,5.26
Erie,REG021342,2.84
Nathalia,REG021343,1.73
Virgie,REG021344,2.00
Emma,REG021345,7.54
Orin,REG021346,2.67
Castella,REG021347,1.73
Saul,REG021348,2.93
Kirby,REG021349,2.47
Ethelyn,REG021350,2.67
Arvilla,REG021351,2.22
Cyrus,REG021352,3.40
Lavon,REG021353,2.93
Anthony,REG021354,1.73
Norbert,REG021355,2.00
Carlene,REG021356,1.73
Azlee,REG021357,1.87
Terry,REG021358,2.31
Rufus,REG021359,4.65
Caesar,REG021360,2.00
Annette,REG021361,3.21
Worley,REG021362,1.73
Elder,REG021363,1.87
Crystal,REG021364,3.45
Olympia,REG021365,2.61
Gene,REG021366,3.06
Gaston,REG021367,2.73
Park,REG021368,2.22
Robert,REG021369,7.84
Freeda,REG021370,3.10
Herschel,REG021371,2.22
Beatrice,REG021372,1.87
Maysel,REG021373,1.87
Candida,REG021374,1.73
Fredrick,REG021375,4.26
Saul,REG021376,2.73
Reece,REG021377,2.22
Polk,REG021378,1.73
Lemmie,REG021379,1.87
Audre,REG021380,1.73
Colonel,REG021381,1.87
Clemens,REG021382,1.73
Sloan,REG021383,1.73
Avie,REG021384,2.00
Philip,REG021385,5.22
Johanna,REG021386,4.77
Elza,REG021387,2.39
Martina,REG021388,3.02
Anastacio,REG021389,1.73
Magnus,REG021390,1.73
Mell,REG021391,1.73
Morton,REG021392,2.61
Helma,REG021393,2.73
Felicia,REG021394,2.22
Marlin,REG021395,2.12
Carmela,REG021396,2.22
Abe,REG021397,3.73
Rella,REG021398,2.31
Elvia,REG021399,2.39
Catarina,REG021400,2.31
Roxanna,REG021401,2.22
Syd,REG021402,1.73
Claud,REG021403,4.26
Hiram,REG021404,3.91
Zelpha,REG021405,2.00
Steven,REG021406,3.10
Bliss,REG021407,1.73
Pedro,REG021408,3.14
Flavia,REG021409,2.54
Bob,REG021410,4.05
Bess,REG021411,4.95
Donie,REG021412,2.67
Lolita,REG021413,2.54
Bennie,REG021414,2.00
Davie,REG021415,2.31
Elna,REG021416,3.17
Lilie,REG021417,2.12
Farris,REG021418,2.39
Felton,REG021419,1.73
Velma,REG021420,4.81
Edson,REG021421,1.73
Catarina,REG021422,2.00
Carmel,REG021423,2.78
Rilla,REG021424,3.42
Theron,REG021425,2.12
Clarisse,REG021426,1.73
Sydney,REG021427,3.28
Hiram,REG021428,3.67
Girlie,REG021429,1.73
Jack,REG021430,6.67
Mammie,REG021431,2.61
Mahala,REG021432,2.89
Leoma,REG021433,2.47
Bonnie,REG021434,2.22
Addie,REG021435,2.12
Clotilde,REG021436,2.47
Clemence,REG021437,1.87
Clint,REG021438,2.31
Wong,REG021439,2.00
Golden,REG021440,2.73
Fredia,REG021441,2.22
Elfie,REG021442,1.87
Keith,REG021443,1.87
Owen,REG021444,4.11
Irwin,REG021445,2.93
Aurora,REG021446,3.14
Evie,REG021447,3.97
Honor,REG021448,1.73
Leonard,REG021449,5.25
Lessie,REG021450,2.54
Honora,REG021451,2.12
Millard,REG021452,4.01
Olan,REG021453,1.73
Hubert,REG021454,5.12
Gabrielle,REG021455,2.00
Moses,REG021456,4.28
Fredericka,REG021457,1.73
Lurline,REG021458,2.12
Sarah,REG021459,7.23
Sadye,REG021460,3.37
Marcos,REG021461,1.87
Lynda,REG021462,2.47
Russel,REG021463,3.21
Orpah,REG021464,1.73
Tommye,REG021465,2.00
Rozella,REG021466,1.87
Georgia,REG021467,5.56
Antonina,REG021468,2.22
Lillian,REG021469,7.84
Etta,REG021470,5.57
Elcie,REG021471,1.73
Rosana,REG021472,1.87
Lew,REG021473,2.00
Irvin,REG021474,4.32
Adelina,REG021475,2.93
Misao,REG021476,2.12
Littleton,REG021477,2.12
Mignon,REG021478,2.31
Bailey,REG021479,2.39
Corrie,REG021480,3.24
Shedrick,REG021481,2.22
Exa,REG021482,2.47
Karen,REG021483,2.39
Esta,REG021484,3.10
Worth,REG021485,1.87
Orley,REG021486,2.00
Clarissa,REG021487,3.06
Rosaline,REG021488,2.39
Miller,REG021489,2.00
Lindsay,REG021490,2.22
Clell,REG021491,1.73
Georgeanna,REG021492,1.73
Casimir,REG021493,1.87
Ramona,REG021494,3.40
Juliana,REG021495,2.22
Hugh,REG021496,5.33
Marlin,REG021497,2.00
Douglas,REG021498,3.55
Pete,REG021499,4.09
Zoe,REG021500,3.06
Marjorie,REG021501,5.88
Aldine,REG021502,2.22
Bruce,REG021503,3.88
Duncan,REG021504,2.73
Earlean,REG021505,1.73
Hildur,REG021506,2.89
Callie,REG021507,4.73
Joy,REG021508,2.31
Raleigh,REG021509,3.14
Angie,REG021510,3.93
Jeanette,REG021511,5.20
Henry,REG021512,7.50
Dillie,REG021513,1.87
Petrina,REG021514,1.87
Isham,REG021515,2.00
Norbert,REG021516,2.67
Aimee,REG021517,2.73
Wheeler,REG021518,2.31
Merl,REG021519,2.12
Jeanne,REG021520,4.06
Watson,REG021521,2.73
Moe,REG021522,2.54
Hadley,REG021523,1.87
Pernie,REG021524,1.73
Wright,REG021525,2.61
Oneida,REG021526,2.12
Lucian,REG021527,2.98
Wessie,REG021528,2.61
Tabitha,REG021529,1.73
Alpheus,REG021530,1.73
Halie,REG021531,1.73
Cleva,REG021532,1.73
Agatha,REG021533,4.04
Oakley,REG021534,2.39
Hope,REG021535,3.45
Vida,REG021536,4.16
Zita,REG021537,2.39
Helga,REG021538,2.67
Araminta,REG021539,1.73
Macy,REG021540,2.78
Morton,REG021541,3.06
Adaline,REG021542,2.67
Lorenz,REG021543,1.73
Stephanie,REG021544,2.12
Stanford,REG021545,1.73
Filomena,REG021546,4.26
Signe,REG021547,3.21
Sie,REG021548,1.73
Bertie,REG021549,2.67
Early,REG021550,1.87
Dimple,REG021551,2.89
Maybelle,REG021552,3.28
Elizabeth,REG021553,2.47
Esta,REG021554,3.79
Maude,REG021555,6.12
Nila,REG021556,1.87
Florence,REG021557,2.89
Audrey,REG021558,5.09
Adalia,REG021559,1.73
Adelene,REG021560,2.12
Lillie,REG021561,6.65
Bitha,REG021562,1.73
Rutha,REG021563,1.87
Vila,REG021564,1.73
Norwood,REG021565,2.39
Christie,REG021566,1.73
Guadalupe,REG021567,4.06
Dewitt,REG021568,2.93
Agda,REG021569,1.87
Jolly,REG021570,1.73
Leonore,REG021571,2.61
Giles,REG021572,2.54
Adie,REG021573,1.73
Myrle,REG021574,3.10
Clint,REG021575,2.47
Pinkney,REG021576,1.87
Lemuel,REG021577,3.48
Louvenia,REG021578,2.98
Hermina,REG021579,3.55
Letta,REG021580,2.67
Etha,REG021581,2.54
Edwin,REG021582,5.64
Fannie,REG021583,2.00
Burney,REG021584,1.87
Othella,REG021585,2.12
Sula,REG021586,2.84
Bob,REG021587,4.18
Biagio,REG021588,1.73
Clarice,REG021589,4.01
Diana,REG021590,3.53
Edward,REG021591,3.21
Valeria,REG021592,3.40
Millie,REG021593,5.07
Mildred,REG021594,7.63
Lizzie,REG021595,6.03
Jack,REG021596,5.59
Zona,REG021597,3.24
Abel,REG021598,2.61
Henriette,REG021599,2.54
Sedonia,REG021600,2.67
Elta,REG021601,2.78
Justina,REG021602,2.22
Price,REG021603,1.73
Exie,REG021604,2.84
Ammon,REG021605,1.87
Olevia,REG021606,2.54
Tempie,REG021607,3.17
Harry,REG021608,2.67
Jean,REG021609,2.89
Arley,REG021610,2.00
Honor,REG021611,1.73
Pattie,REG021612,3.34
Maryjane,REG021613,2.31
Levi,REG021614,4.26
Lovie,REG021615,3.71
Avice,REG021616,1.73
Napoleon,REG021617,3.10
Eldred,REG021618,2.61
Mack,REG021619,4.48
Carmela,REG021620,2.78
Romaine,REG021621,1.87
Jacob,REG021622,5.34
Serafina,REG021623,2.00
Sudie,REG021624,3.69
David,REG021625,1.73
Marcelo,REG021626,1.87
Annamae,REG021627,2.00
Pricilla,REG021628,1.87
Lorinda,REG021629,1.73
Sumner,REG021630,2.67
Leafa,REG021631,1.73
Malissa,REG021632,2.78
Camille,REG021633,1.73
Laurin,REG021634,1.73
Steve,REG021635,4.70
Pearlie,REG021636,2.12
Oris,REG021637,2.00
Carmine,REG021638,2.93
Jordan,REG021639,2.93
Mel,REG021640,1.73
Altha,REG021641,3.55
Birtie,REG021642,2.31
Alba,REG021643,2.39
Nickolas,REG021644,2.12
Pearline,REG021645,2.78
Esma,REG021646,2.31
Aletha,REG021647,3.37
Baxter,REG021648,2.54
Rina,REG021649,1.73
Clemens,REG021650,1.73
Erma,REG021651,3.34
Eva,REG021652,7.21
Loran,REG021653,1.73
Selina,REG021654,2.73
Fern,REG021655,6.18
Frank,REG021656,7.62
Bob,REG021657,4.16
Ara,REG021658,3.02
Blanche,REG021659,6.93
Lara,REG021660,1.73
Oda,REG021661,2.47
Ozzie,REG021662,1.87
Miles,REG021663,3.79
Lula,REG021664,2.12
Christine,REG021665,6.60
Orval,REG021666,3.17
Sebastian,REG021667,1.73
Freda,REG021668,6.11
Gretta,REG021669,2.00
Althea,REG021670,3.55
Arlean,REG021671,1.87
Louise,REG021672,2.61
Cliff,REG021673,2.98
Isidro,REG021674,1.87
Colonel,REG021675,2.22
Ala,REG021676,2.00
Stonewall,REG021677,2.22
Wayne,REG021678,3.14
Rosemary,REG021679,4.36
Wayne,REG021680,4.37
Isola,REG021681,1.87
Addison,REG021682,2.67
Jimmy,REG021683,3.14
Charlott,REG021684,1.73
Zoa,REG021685,1.87
Joesph,REG021686,1.73
Vivien,REG021687,2.22
Adria,REG021688,1.87
Kittie,REG021689,3.28
Elsie,REG021690,2.31
Alcie,REG021691,1.73
Leon,REG021692,5.09
Ira,REG021693,2.78
Dema,REG021694,2.39
Zenobia,REG021695,3.14
Helena,REG021696,4.72
Grover,REG021697,3.77
Delcie,REG021698,2.12
Anderson,REG021699,3.82
Loretta,REG021700,5.80
Denny,REG021701,1.73
Dolly,REG021702,3.81
Addison,REG021703,2.93
Lois,REG021704,2.31
Dell,REG021705,2.78
Nona,REG021706,4.27
Dean,REG021707,2.47
Zena,REG021708,2.39
Llewellyn,REG021709,2.22
Therese,REG021710,2.47
Celie,REG021711,2.00
Loyce,REG021712,1.73
Lucretia,REG021713,3.28
Barney,REG021714,3.93
Dassie,REG021715,2.00
Violette,REG021716,1.87
Luna,REG021717,2.84
Mammie,REG021718,3.06
Iowa,REG021719,1.87
Barbara,REG021720,5.80
Edward,REG021721,2.22
Arie,REG021722,2.67
Neppie,REG021723,1.87
Zola,REG021724,2.31
Minnie,REG021725,2.61
Ford,REG021726,2.47
Leita,REG021727,1.87
Mike,REG021728,4.59
Genie,REG021729,2.47
Leone,REG021730,3.73
Rea,REG021731,2.54
Sam,REG021732,6.54
Jennings,REG021733,1.73
Sidney,REG021734,2.89
Ivory,REG021735,2.12
Reita,REG021736,1.73
Hosie,REG021737,2.12
Ilda,REG021738,2.22
Christiana,REG021739,1.73
Charlie,REG021740,2.31
Zoe,REG021741,3.42
Elodie,REG021742,1.73
Rexford,REG021743,1.87
Arminda,REG021744,1.73
Vena,REG021745,2.98
Alfaretta,REG021746,1.73
Llewellyn,REG021747,2.00
Hortense,REG021748,3.48
Lessie,REG021749,4.06
Elba,REG021750,2.67
Coy,REG021751,1.87
Nettie,REG021752,6.03
Anita,REG021753,5.03
Almedia,REG021754,1.73
Estie,REG021755,2.22
Louie,REG021756,3.86
Sussie,REG021757,1.87
Rexford,REG021758,1.73
Ivan,REG021759,3.96
Elmore,REG021760,2.84
Drucilla,REG021761,1.87
Rene,REG021762,2.93
Vernie,REG021763,3.48
Dan,REG021764,4.41
Stephen,REG021765,5.04
Girlie,REG021766,2.22
Collie,REG021767,1.87
Purvis,REG021768,1.73
Esther,REG021769,5.10
Drucilla,REG021770,2.67
Alfred,REG021771,1.87
Elmira,REG021772,2.98
Stephanie,REG021773,3.14
Benjamine,REG021774,1.87
Natalia,REG021775,1.73
Shirley,REG021776,5.97
Jenny,REG021777,3.55
Hector,REG021778,1.87
Janet,REG021779,4.21
Steward,REG021780,2.22
Harmon,REG021781,2.98
Cleda,REG021782,2.12
Kirby,REG021783,1.73
Norah,REG021784,2.67
Sula,REG021785,2.78
Eda,REG021786,3.34
Lucie,REG021787,2.98
Thurman,REG021788,3.10
Ruby,REG021789,2.39
Albina,REG021790,2.67
Erick,REG021791,2.00
Evalyn,REG021792,3.45
Harry,REG021793,2.61
Lemuel,REG021794,2.98
Docia,REG021795,2.47
Beulah,REG021796,6.77
Luretta,REG021797,2.12
Signa,REG021798,2.47
Mark,REG021799,4.33
Hildagarde,REG021800,2.12
Claudie,REG021801,2.93
Ines,REG021802,2.31
Thea,REG021803,2.12
Lema,REG021804,1.73
Ether,REG021805,2.73
French,REG021806,2.12
Allee,REG021807,1.73
Bernhard,REG021808,2.00
Aurelia,REG021809,2.78
Fanny,REG021810,4.15
Howard,REG021811,6.14
Fanchon,REG021812,1.73
Billy,REG021813,2.22
Ole,REG021814,3.10
Catalina,REG021815,2.00
Elsie,REG021816,7.22
Cherry,REG021817,1.73
Keith,REG021818,3.45
Anice,REG021819,2.12
Norwood,REG021820,1.73
Katheryn,REG021821,3.17
Malinda,REG021822,3.96
Lynda,REG021823,1.87
Blanche,REG021824,6.74
Dellar,REG021825,2.12
Olla,REG021826,1.73
Sadie,REG021827,6.40
Amalia,REG021828,3.34
Goldia,REG021829,2.61
Rudolph,REG021830,4.20
Hermina,REG021831,2.73
Hermon,REG021832,2.22
Stuart,REG021833,3.53
Clement,REG021834,3.31
Arrie,REG021835,2.73
Hollie,REG021836,2.47
Maurice,REG021837,4.46
Abe,REG021838,3.93
Vida,REG021839,4.40
Dove,REG021840,2.39
Brice,REG021841,1.87
Mat,REG021842,2.22
Isola,REG021843,1.87
Narcissus,REG021844,1.73
Hyman,REG021845,1.87
Verna,REG021846,6.08
Lavinia,REG021847,3.40
Andres,REG021848,2.54
Corinna,REG021849,1.73
Leonore,REG021850,2.89
Zilla,REG021851,1.73
John,REG021852,8.81
Bradley,REG021853,1.87
Silvester,REG021854,1.73
Elta,REG021855,2.12
Hattie,REG021856,6.78
Lawrence,REG021857,2.31
Bernie,REG021858,1.87
Frederick,REG021859,5.70
Eileen,REG021860,3.67
Willard,REG021861,4.44
Tommy,REG021862,2.84
Pecolia,REG021863,2.22
Ulysses,REG021864,3.37
Sandra,REG021865,2.67
Arturo,REG021866,1.87
Carmen,REG021867,2.31
Grace,REG021868,2.31
Harvie,REG021869,2.00
Paulina,REG021870,1.73
Urban,REG021871,2.00
Wellington,REG021872,2.54
Mariam,REG021873,1.87
Irene,REG021874,5.71
Lucile,REG021875,5.39
Luvena,REG021876,1.87
Celesta,REG021877,1.73
Susie,REG021878,5.86
Vester,REG021879,1.87
Queen,REG021880,4.23
Vertie,REG021881,1.73
Will,REG021882,5.96
Adelbert,REG021883,2.47
Cap,REG021884,1.73
Barney,REG021885,3.67
Merton,REG021886,2.98
Clement,REG021887,3.37
Emilie,REG021888,3.81
Barnett,REG021889,1.73
Beryl,REG021890,4.32
Rex,REG021891,3.45
Eliga,REG021892,2.12
Grant,REG021893,3.55
Clemens,REG021894,2.47
Fred,REG021895,6.91
Reda,REG021896,2.12
Hollis,REG021897,2.47
Georgette,REG021898,2.39
Leanna,REG021899,2.12
Loree,REG021900,2.00
Elba,REG021901,1.73
Donald,REG021902,5.27
Carroll,REG021903,4.13
Fidel,REG021904,2.12
Karl,REG021905,3.84
Thirza,REG021906,1.73
Roman,REG021907,3.40
Jerry,REG021908,4.54
Emmaline,REG021909,1.87
Orene,REG021910,1.87
Marvin,REG021911,5.12
Madelaine,REG021912,2.00
Sofia,REG021913,2.12
Rosabell,REG021914,1.73
Dinah,REG021915,2.22
Mallie,REG021916,3.45
Lyde,REG021917,1.87
Loretta,REG021918,6.03
Verlie,REG021919,3.58
Ilo,REG021920,2.12
Sylvania,REG021921,1.87
Orie,REG021922,1.73
Brady,REG021923,2.12
Victoria,REG021924,5.14
Nena,REG021925,2.12
Willam,REG021926,2.39
Dulcie,REG021927,2.12
Lassie,REG021928,2.61
James,REG021929,8.56
Winfield,REG021930,2.78
Argie,REG021931,1.73
Ciro,REG021932,1.87
Jeannette,REG021933,4.43
Viola,REG021934,5.63
Harriette,REG021935,3.02
Toy,REG021936,2.00
Beulah,REG021937,6.63
Nannie,REG021938,5.59
Herbert,REG021939,6.77
Katherine,REG021940,6.54
Terry,REG021941,1.87
Mathilda,REG021942,4.42
